vintage,vintage_year,rank,previous_rank,award_year,style_name,price_euros,bottle_volume_ml
Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,2001,4,4,2016,Italian Brunello,420.0,750
Emidio Pepe Montepulciano d'Abruzzo 2001,2001,2,2,2017,Italian Montepulciano d'Abruzzo,248.25,750
Emidio Pepe Montepulciano d'Abruzzo 2001,2001,2,2,2019,Italian Montepulciano d'Abruzzo,248.25,750
Gaja Sperss Barolo 2004,2004,1,1,2018,Italian Nebbiolo,618.75,750
Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,9,9,2016,Italian Barolo,221.25,750
Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,8,8,2017,Italian Barolo,221.25,750
Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,9,9,2018,Italian Barolo,221.25,750
Paolo Scavino Bric Dël Fiasc Barolo 2005,2005,7,7,2020,Italian Barolo,221.25,750
Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,5,5,2019,French Champagne Vintage,1900.0,1500
Louis Roederer Cristal Brut Champagne (Millésimé) 1999,1999,5,5,2020,French Champagne Vintage,1900.0,1500
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,2,2,2019,Bordeaux Pauillac,1900.0,750
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2003,2003,2,2,2020,Bordeaux Pauillac,1900.0,750
Château Rayas Châteauneuf-du-Pape 2006,2006,3,3,2019,Southern Rhône Châteauneuf-du-Pape Red,3308.75,750
Château Rayas Châteauneuf-du-Pape 2006,2006,1,1,2020,Southern Rhône Châteauneuf-du-Pape Red,3308.75,750
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2003,2003,4,4,2018,Italian Amarone,683.75,750
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,1,1,2016,Italian Valpolicella Red,243.75,750
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2004,2004,2,2,2017,Italian Valpolicella Red,243.75,750
Antinori Tenuta Tignanello 'Solaia' 1997,1997,2,2,2016,Central Italy Red,1473.75,1500
Antinori Tenuta Tignanello 'Solaia' 1997,1997,3,3,2017,Central Italy Red,1473.75,1500
Renato Ratti Barolo Rocche 2006,2006,9,9,2017,Italian Barolo,208.75,750
Dal Forno Romano Amarone della Valpolicella Monte Lodoletta 2008,2008,2,2,2020,Italian Amarone,697.5,750
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,7,7,2016,French Champagne,2882.5,750
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,3,3,2018,French Champagne,2882.5,750
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,3,3,2019,French Champagne Vintage,2882.5,750
Salon Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne 1996,1996,1,1,2020,French Champagne Vintage,2882.5,750
Antinori Tignanello 1998,1998,4,4,2018,Tuscan Red,820.0,1500
Château La Fleur-Pétrus Pomerol 2010,2010,4,4,2019,Bordeaux Pomerol,576.25,750
Château La Fleur-Pétrus Pomerol 2010,2010,3,3,2020,Bordeaux Pomerol,576.25,750
Domaine des Lambrays Clos des Lambrays Grand Cru 2009,2009,5,5,2017,Burgundy Red,896.25,750
Pio Cesare Ornato Barolo 2008,2008,3,3,2016,Italian Barolo,178.75,750
Gaja Barbaresco 1997,1997,1,1,2016,Italian Barbaresco,597.5,750
Gaja Barbaresco 1998,1998,1,1,2018,Italian Barbaresco,470.0,750
Le Macchiole Messorio 2008,2008,7,7,2018,Tuscan Red,420.0,750
Château La Fleur-Pétrus Pomerol 1998,1998,4,4,2017,Bordeaux Pomerol,683.75,750
Biondi-Santi Brunello di Montalcino Riserva 2008,2008,6,6,2018,Italian Brunello,1478.75,750
Château Gazin Pomerol 2009,2009,10,10,2019,Bordeaux Pomerol,155.0,750
Antinori Tenuta Guado al Tasso Bolgheri Superiore 1997,1997,4,4,2020,Italian Bolgheri,310.0,750
