group_name,wine_name,acidity,intensity,sweetness,tannin,price_euros_liter
Mazzei Siepi 2005,Siepi,3.156144,3.4918664,1.807986,2.9856336,225.0
Antinori Tignanello 2005,Tignanello,3.082814,3.4132028,1.7224381,2.9867094,500.0
Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,Tenuta Nuova Brunello di Montalcino,3.820147,3.3786674,1.7909194,3.598853,560.0
Poggio Antico Altero Brunello di Montalcino 2006,Altero Brunello di Montalcino,3.8212059,3.266036,1.5881945,3.517492,161.66666666666666
Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2007,Saint-Émilion Grand Cru (Premier Grand Cru Classé),3.382386,4.196221,1.7933086,3.5282295,968.3333333333334
Paul Jaboulet Aîné Hermitage La Chapelle Rouge 2006,Hermitage La Chapelle Rouge,3.4834516,4.6211514,1.6923082,3.999296,413.3333333333333
Renato Ratti Barolo Rocche 2004,Barolo Rocche,4.443262,3.7750337,1.7726882,4.192189,270.0
Emidio Pepe Montepulciano d'Abruzzo 2001,Montepulciano d'Abruzzo,3.902051,2.8639016,1.6370007,3.0102289,331.0
La Spinetta Vürsù Barbaresco Starderi 2005,Vürsù Barbaresco Starderi,4.747835,3.9129653,1.6145903,4.2625036,350.0
Renato Ratti Barolo Rocche 2001,Barolo Rocche,4.443262,3.7750337,1.7726882,4.192189,368.33333333333337
Poggio Antico Brunello di Montalcino 2004,Brunello di Montalcino,3.8421304,3.1612687,1.5376806,3.425511,490.0
Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2000,Pauillac (Premier Grand Cru Classé),4.117049,3.9883592,1.6689028,4.1171813,3671.666666666667
Tenuta San Guido Sassicaia 2005,Sassicaia,3.488095,3.7838812,1.7056901,3.8796737,881.6666666666667
Ornellaia Bolgheri Superiore 2006,Bolgheri Superiore,3.4603708,3.877706,1.788846,3.8922803,825.8333333333333
Château Lafite Rothschild Carruades de Lafite Pauillac 2006,Carruades de Lafite Pauillac,4.112083,4.1697683,1.6171026,4.0219874,975.0
Nino Negri 5 Stelle Sfursat 2006,5 Stelle Sfursat,4.598433,3.962276,1.927198,4.336158,173.33333333333334
Gaja Barbaresco 2006,Barbaresco,4.6545653,3.6966581,1.6031228,4.015384,711.6666666666666
Gaja Sperss Barolo 2004,Sperss Barolo,4.666537,3.8432937,1.6009856,4.3828244,825.0
Gaja Darmagi Langhe 2004,Darmagi Langhe,2.4285307,4.001477,2.065667,3.1359265,560.0
