wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country,popularity_score,value_for_money,popularity_rank,value_rank,combined_rank
Siepi,Mazzei Siepi 2005,2005,4.4,8129,4.4,580,225.0,0,Italie,39.61405005248492,0.01955555555555556,729.0,680.0,704.5
Tignanello,Antinori Tignanello 2005,2005,4.5,142513,4.5,1933,500.0,0,Italie,53.402348261699956,0.009,7.0,1222.0,614.5
Tenuta Nuova Brunello di Montalcino,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,2001,4.5,20934,4.5,611,560.0,1,Italie,44.77108459686673,0.008035714285714285,403.0,1299.0,851.0
Altero Brunello di Montalcino,Poggio Antico Altero Brunello di Montalcino 2006,2006,4.4,4620,4.5,236,161.66666666666666,0,Italie,37.12785992993345,0.027216494845360827,978.0,478.0,728.0
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2007,2007,4.6,22896,4.5,876,968.3333333333334,0,France,46.17810050826266,0.004750430292598967,285.0,1638.0,961.5
Hermitage La Chapelle Rouge,Paul Jaboulet Aîné Hermitage La Chapelle Rouge 2006,2006,4.3,15298,4.5,927,413.3333333333333,0,France,41.43255273349179,0.010403225806451612,593.0,1124.0,858.5
Barolo Rocche,Renato Ratti Barolo Rocche 2004,2004,4.4,1615,4.5,256,270.0,0,Italie,32.50319703688973,0.0162962962962963,1400.0,804.0,1102.0
Montepulciano d'Abruzzo,Emidio Pepe Montepulciano d'Abruzzo 2001,2001,4.2,10110,4.4,452,331.0,1,Italie,38.729377310460976,0.012688821752265862,814.0,998.0,906.0
Montepulciano d'Abruzzo,Emidio Pepe Montepulciano d'Abruzzo 2001,2001,4.2,10110,4.4,452,331.0,1,Italie,38.729377310460976,0.012688821752265862,814.0,998.0,906.0
Vürsù Barbaresco Starderi,La Spinetta Vürsù Barbaresco Starderi 2005,2005,4.4,4414,4.4,296,350.0,0,Italie,36.9271609819934,0.012571428571428572,1000.0,1005.0,1002.5
Barolo Rocche,Renato Ratti Barolo Rocche 2001,2001,4.4,1615,0.0,2,368.33333333333337,0,Italie,32.50319703688973,0.011945701357466063,1400.0,1028.0,1214.0
Brunello di Montalcino,Poggio Antico Brunello di Montalcino 2004,2004,4.4,9171,4.4,647,490.0,0,Italie,40.144727086459355,0.008979591836734694,690.0,1224.0,957.0
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2000,2000,4.6,39283,4.7,1077,3671.666666666667,0,France,48.66131681776812,0.0012528370403994552,166.0,2048.0,1107.0
Sassicaia,Tenuta San Guido Sassicaia 2005,2005,4.6,107646,4.6,2896,881.6666666666667,0,Italie,53.29837538537822,0.005217391304347826,23.0,1574.0,798.5
Bolgheri Superiore,Ornellaia Bolgheri Superiore 2006,2006,4.6,47939,4.6,2108,825.8333333333333,0,Italie,49.577349382470814,0.005570131180625631,91.0,1536.0,813.5
Carruades de Lafite Pauillac,Château Lafite Rothschild Carruades de Lafite Pauillac 2006,2006,4.4,13866,4.4,433,975.0,0,France,41.96365834981072,0.004512820512820513,565.0,1669.0,1117.0
5 Stelle Sfursat,Nino Negri 5 Stelle Sfursat 2006,2006,4.5,10740,4.4,288,173.33333333333334,0,Italie,41.76778665628285,0.02596153846153846,579.0,509.0,544.0
