wine_name,vintage_name,vintage_year,wine_ratings_average,wine_ratings_count,vintage_ratings_average,vintage_rating_count,liter_price_euros,in_top_list,country
Siepi,Mazzei Siepi 2005,2005,4.4,8129,4.4,580,225.0,0,Italie
Tignanello,Antinori Tignanello 2005,2005,4.5,142513,4.5,1933,500.0,0,Italie
Tenuta Nuova Brunello di Montalcino,Casanova di Neri Tenuta Nuova Brunello di Montalcino 2001,2001,4.5,20934,4.5,611,560.0,1,Italie
Altero Brunello di Montalcino,Poggio Antico Altero Brunello di Montalcino 2006,2006,4.4,4620,4.5,236,161.66666666666666,0,Italie
Saint-Émilion Grand Cru (Premier Grand Cru Classé),Château Angelus Saint-Émilion Grand Cru (Premier Grand Cru Classé) 2007,2007,4.6,22896,4.5,876,968.3333333333334,0,France
Hermitage La Chapelle Rouge,Paul Jaboulet Aîné Hermitage La Chapelle Rouge 2006,2006,4.3,15298,4.5,927,413.3333333333333,0,France
Barolo Rocche,Renato Ratti Barolo Rocche 2004,2004,4.4,1615,4.5,256,270.0,0,Italie
Montepulciano d'Abruzzo,Emidio Pepe Montepulciano d'Abruzzo 2001,2001,4.2,10110,4.4,452,331.0,1,Italie
Montepulciano d'Abruzzo,Emidio Pepe Montepulciano d'Abruzzo 2001,2001,4.2,10110,4.4,452,331.0,1,Italie
Vürsù Barbaresco Starderi,La Spinetta Vürsù Barbaresco Starderi 2005,2005,4.4,4414,4.4,296,350.0,0,Italie
Barolo Rocche,Renato Ratti Barolo Rocche 2001,2001,4.4,1615,0.0,2,368.33333333333337,0,Italie
Brunello di Montalcino,Poggio Antico Brunello di Montalcino 2004,2004,4.4,9171,4.4,647,490.0,0,Italie
Pauillac (Premier Grand Cru Classé),Château Lafite Rothschild Pauillac (Premier Grand Cru Classé) 2000,2000,4.6,39283,4.7,1077,3671.666666666667,0,France
Sassicaia,Tenuta San Guido Sassicaia 2005,2005,4.6,107646,4.6,2896,881.6666666666667,0,Italie
Bolgheri Superiore,Ornellaia Bolgheri Superiore 2006,2006,4.6,47939,4.6,2108,825.8333333333333,0,Italie
Carruades de Lafite Pauillac,Château Lafite Rothschild Carruades de Lafite Pauillac 2006,2006,4.4,13866,4.4,433,975.0,0,France
