wine_name,year,ratings_average,ratings_count,liter_price_euros,country
Cabernet Sauvignon,2015,4.8,2941,2078.333333333333,États-Unis
Special Selection Cabernet Sauvignon,1997,4.7,41236,530.0,États-Unis
Special Selection Cabernet Sauvignon,2017,4.7,41236,295.3333333333333,États-Unis
Cabernet Sauvignon,2019,4.6,157944,118.63333333333333,États-Unis
Cabernet Sauvignon (Signature),2018,4.6,13730,142.61333333333332,États-Unis
CASK 23 Cabernet Sauvignon,2018,4.6,9464,480.0,États-Unis
Cabernet Sauvignon,2018,4.6,5927,366.66666666666663,États-Unis
Au Paradis Cabernet Sauvignon,2018,4.6,3004,550.0,États-Unis
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,2005,4.6,1557,346.6666666666667,États-Unis
Cabernet Sauvignon Coeur De Vallée,2019,4.6,544,393.3333333333333,États-Unis
Cabernet Sauvignon,2016,4.6,152,278.73333333333335,États-Unis
Lithology Cabernet Sauvignon,2019,4.6,148,206.13333333333333,États-Unis
One Point Five Cabernet Sauvignon,2019,4.5,16341,167.93333333333334,États-Unis
FAY Cabernet Sauvignon,2018,4.5,10840,234.59999999999997,États-Unis
S.L.V. Cabernet Sauvignon,2018,4.5,6560,266.6,États-Unis
Howell Mountain Cabernet Sauvignon,2017,4.5,6466,393.3333333333333,États-Unis
Cabernet Sauvignon,2006,4.5,3087,268.3333333333333,États-Unis
Cabernet Sauvignon,2008,4.5,3087,238.33333333333334,États-Unis
Cabernet Sauvignon,2004,4.5,3087,295.0,États-Unis
Cabernet Sauvignon,2009,4.5,3087,268.3333333333333,États-Unis
Cabernet Sauvignon,2001,4.5,3087,268.3333333333333,États-Unis
Cabernet Sauvignon,2003,4.5,3087,268.3333333333333,États-Unis
Blueline Estate Cabernet Sauvignon,2019,4.5,1321,260.0,États-Unis
ARTEMIS Cabernet Sauvignon,2020,4.4,81351,119.93333333333334,États-Unis
Alexander Valley Cabernet Sauvignon,2017,4.4,46066,183.33333333333331,États-Unis
Cabernet Sauvignon,2018,4.4,28544,114.60000000000001,États-Unis
Cabernet Sauvignon,2019,4.4,28544,127.93333333333334,États-Unis
Georges De Latour Private Reserve Cabernet Sauvignon,2018,4.4,12652,158.66666666666669,États-Unis
Georges De Latour Private Reserve Cabernet Sauvignon,2019,4.4,12652,266.6,États-Unis
Domus Aurea Cabernet Sauvignon,2013,4.4,9603,226.33333333333334,Chili
Altagracia Cabernet Sauvignon,2012,4.4,3083,216.20000000000002,États-Unis
Cabernet Sauvignon,2018,4.4,2830,162.6,États-Unis
Cabernet Sauvignon,2019,4.4,2830,179.9333333333333,États-Unis
Cabernet Sauvignon,2019,4.4,2408,48.4,Italie
Freienfeld Cabernet Sauvignon Riserva,2000,4.4,173,208.33333333333334,Italie
Chateau Buena Vista Cabernet Sauvignon Napa Valley,2018,4.3,13415,82.60000000000001,États-Unis
Rapture Cabernet Sauvignon,2017,4.3,2117,141.33333333333334,États-Unis
Rutherford Cabernet Sauvignon,2017,4.3,655,196.66666666666666,États-Unis
