Countries,Keywords,Ratings_Average
Italie,"incense smoke",4.57
Italie,"green bean",4.55
Italie,"wild iris",4.53
Italie,"coconut oil",4.53
Italie,"roasted pepper",4.52
Espagne,"key lime",4.52
Espagne,"sweet and sour sauce",4.5
Italie,"stewed apricot",4.5
Italie,"spiced pear",4.5
Italie,"rubber cement",4.5
Italie,"red beet",4.5
Italie,quinine,4.5
Italie,matcha,4.5
Italie,"green cardamom",4.5
Italie,"grapefruit pith",4.5
Italie,"dessert dust",4.5
Italie,"creme fraiche",4.5
Italie,"castelvetrano olive",4.5
Italie,"candy-cap mushroom",4.5
Italie,"roasted hazelnut",4.49
Italie,radicchio,4.49
Italie,"hazelnut cream",4.49
Italie,"wet slate",4.48
Italie,"spice cake",4.48
Espagne,"pie crust",4.48
Italie,"wet gravel",4.47
Espagne,sugarplum,4.47
Italie,pomello,4.47
Italie,"medjool date",4.47
Italie,"fresh grapes",4.47
Espagne,"volcanic rock",4.46
Italie,pastrami,4.46
Italie,"burnt sugar",4.46
Italie,"barbecue meat",4.46
Italie,"smoked meats",4.45
Italie,nectarine,4.45
Italie,"mission fig",4.45
Italie,"maple syrup",4.45
Italie,"mandarin orange",4.45
Italie,iris,4.45
Italie,hickory,4.45
Italie,"fruit roll-up",4.45
Italie,"fresh-cut grass",4.45
Italie,"dried rosemary",4.45
Italie,"creme brulee",4.45
Italie,"brown bread",4.45
Italie,"blackcurrant jam",4.45
Italie,"black raisin",4.45
Italie,"bacon fat",4.45
Italie,yogurt,4.44
Italie,"wild blueberry",4.44
Italie,"white cherry",4.44
Italie,"salted butter",4.44
Italie,"red bell pepper",4.44
Italie,"quince paste",4.44
Italie,peony,4.44
Italie,pastry,4.44
Italie,melon,4.44
Italie,jalapeno,4.44
Italie,jackfruit,4.44
Italie,"gun smoke",4.44
Italie,guava,4.44
Italie,"ground coffee",4.44
Espagne,"grape jam",4.44
Italie,gingerbread,4.44
Italie,fudge,4.44
Italie,"exotic spice",4.44
Italie,"dried blueberry",4.44
Italie,"cherry cola",4.44
Italie,"buttered popcorn",4.44
Italie,"black walnut",4.44
Italie,yeast,4.43
Italie,"wood smoke",4.43
Italie,"vanilla bean",4.43
Italie,toffee,4.43
Italie,tobacco,4.43
Espagne,"strawberry sauce",4.43
Italie,"spiced plum",4.43
Italie,"red licorice",4.43
Italie,"red fruit",4.43
Italie,"plum sauce",4.43
Italie,plum,4.43
Italie,"pine nut",4.43
Italie,petroleum,4.43
Italie,pecan,4.43
Italie,oak,4.43
Italie,"mustard seed",4.43
Italie,mocha,4.43
Italie,marmalade,4.43
Italie,licorice,4.43
Italie,lemon,4.43
Italie,kerosene,4.43
Italie,incense,4.43
Italie,honey,4.43
