name,users_count,wines_count,wineries_count
"États-Unis",12273684,204060,28145
France,5973301,422503,67553
Italie,4270717,274658,42399
Allemagne,2549989,164533,13643
Espagne,2264396,102662,18026
Suisse,1601799,33656,3849
Portugal,1123535,39847,5834
Australie,1022965,90954,13946
Argentine,629532,36121,5339
Chili,326757,41191,5785
"Afrique du Sud",269649,30857,4227
Roumanie,228185,6841,686
"Israël",150549,5435,529
Hongrie,102235,16605,1923
"Grèce",95693,9581,1294
Croatie,64223,5880,980
Moldavie,13583,5055,418
