name,avg_ratings_average,total_ratings_count
Montrachet Grand Cru Marquis de Laguiche,4.8,339
IX Estate Red,4.8,131
Harlan Estate Red,4.8,104
Vintage Port Nacional,4.8,52
Clos du Mesnil,4.766666666666667,715
Veneto Alzero Cabernet,4.74,736
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.733333333333333,3619
Sauternes,4.7,6142
Valbuena 5º,4.7,3678
P2 Plénitude Brut Champagne,4.7,970
Cristal Rosé Brut Champagne (Millésimé),4.7,804
Dominus (Christian Moueix),4.7,370
Tenuta Guado al Tasso Matarocchio,4.7,342
Le Bourg Saumur Champigny,4.7,287
Les Pavots,4.7,126
Chevalier-Montrachet Grand Cru,4.7,104
Quiñon de Valmira,4.7,49
Collection Vintage 2000 Brut,4.7,45
Perpiero,4.7,43
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.7,32
Riserva vecchie viti dei Capalot e delle Brunate Barolo,4.7,32
Lot 1,4.7,28
Triglia Negroamaro Rosato,4.7,25
Clos de Tart Grand Cru Monopole,4.699999999999999,77
Cerretalto Brunello di Montalcino,4.683333333333333,2063
Tenuta Tignanello 'Solaia',4.675,9502
Grange,4.675,1221
Vintage,4.666666666666667,3374
Rutherford,4.666666666666667,3026
Unico,4.666666666666667,1008
Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.666666666666667,553
Collection,4.666666666666667,529
Grand Vin Pauillac (Premier Grand Cru Classé),4.66,6020
Pingus,4.66,1290
Toscana,4.658064516129032,12622
Special Selection Cabernet Sauvignon,4.65,2189
La Grande Dame Brut Rosé Champagne,4.65,402
Alabaster,4.65,187
Cuvée des Enchanteleurs Brut Champagne,4.65,99
Opus One,4.6499999999999995,24607
Viña El Pison,4.6499999999999995,250
Cristal Brut Champagne (Millésimé),4.642857142857143,20293
Lodovico,4.642857142857143,3306
Château Margaux (Premier Grand Cru Classé),4.635714285714287,9327
Campo Inferi Amarone della Valpolicella Classico Riserva,4.633333333333333,456
Insignia,4.625,2917
Continuum Estate,4.625,1788
Madonna delle Grazie Brunello di Montalcino,4.625,766
Côte-Rôtie La Turque,4.625,399
