wine_name,group_name
Belle Epoque Brut Champagne,Subtly aphrodisiac flavour
Blanc des Millénaires,Subtly aphrodisiac flavour
Brut Champagne,Subtly aphrodisiac flavour
Comtes de Champagne Blanc de Blancs,Subtly aphrodisiac flavour
Cristal Brut Champagne (Millésimé),Subtly aphrodisiac flavour
Cuvée des Enchanteleurs Brut Champagne,Subtly aphrodisiac flavour
Dom Ruinart Blanc de Blancs Brut Champagne,Subtly aphrodisiac flavour
Grande Cuvée,Subtly aphrodisiac flavour
La Grande Année Brut Champagne,Subtly aphrodisiac flavour
La Grande Dame Brut Champagne,Subtly aphrodisiac flavour
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,Subtly aphrodisiac flavour
MV,Subtly aphrodisiac flavour
P2 Plénitude Brut Champagne,Subtly aphrodisiac flavour
R.D Extra Brut Champagne (Récemment Dégorgé),Subtly aphrodisiac flavour
Sauternes,Subtly aphrodisiac flavour
Sauternes (Premier Grand Cru Classé),Subtly aphrodisiac flavour
Sir Winston Churchill Brut Champagne,Subtly aphrodisiac flavour
Trebbiano d'Abruzzo,Subtly aphrodisiac flavour
Vintage,Subtly aphrodisiac flavour
