wine_name,grape_name,ratings_average,ratings_count
Cabernet Sauvignon,Cabernet Sauvignon,4.8,2941
Special Selection Cabernet Sauvignon,Cabernet Sauvignon,4.7,41236
Cabernet Sauvignon,Cabernet Sauvignon,4.6,157944
Cabernet Sauvignon (Signature),Cabernet Sauvignon,4.6,13730
CASK 23 Cabernet Sauvignon,Cabernet Sauvignon,4.6,9464
Cabernet Sauvignon,Cabernet Sauvignon,4.6,5927
Au Paradis Cabernet Sauvignon,Cabernet Sauvignon,4.6,3004
Beckstoffer To Kalon Vineyard Cabernet Sauvignon,Cabernet Sauvignon,4.6,1557
Cabernet Sauvignon Coeur De Vallée,Cabernet Sauvignon,4.6,544
Cabernet Sauvignon,Cabernet Sauvignon,4.6,152
Lithology Cabernet Sauvignon,Cabernet Sauvignon,4.6,148
One Point Five Cabernet Sauvignon,Cabernet Sauvignon,4.5,16341
FAY Cabernet Sauvignon,Cabernet Sauvignon,4.5,10840
S.L.V. Cabernet Sauvignon,Cabernet Sauvignon,4.5,6560
Howell Mountain Cabernet Sauvignon,Cabernet Sauvignon,4.5,6466
Cabernet Sauvignon,Cabernet Sauvignon,4.5,3087
Blueline Estate Cabernet Sauvignon,Cabernet Sauvignon,4.5,1321
Chloe Chardonnay,Chardonnay,4.5,458
Reserve Chardonnay,Chardonnay,4.5,396
Bentrock Vineyard Chardonnay,Chardonnay,4.5,118
ARTEMIS Cabernet Sauvignon,Cabernet Sauvignon,4.4,81351
Alexander Valley Cabernet Sauvignon,Cabernet Sauvignon,4.4,46066
Cabernet Sauvignon,Cabernet Sauvignon,4.4,28544
Georges De Latour Private Reserve Cabernet Sauvignon,Cabernet Sauvignon,4.4,12652
Domus Aurea Cabernet Sauvignon,Cabernet Sauvignon,4.4,9603
Altagracia Cabernet Sauvignon,Cabernet Sauvignon,4.4,3083
Cabernet Sauvignon,Cabernet Sauvignon,4.4,2830
Cabernet Sauvignon,Cabernet Sauvignon,4.4,2408
Merlot,Merlot,4.4,1922
One Sixteen Chardonnay,Chardonnay,4.4,1753
Calle Merlot Rosso Veronese,Merlot,4.4,1053
Chardonnay,Chardonnay,4.4,1031
Hyde Vineyard Chardonnay,Chardonnay,4.4,265
Chardonnay,Chardonnay,4.4,201
110 e Lode Merlot,Merlot,4.4,174
Freienfeld Cabernet Sauvignon Riserva,Cabernet Sauvignon,4.4,173
Chardonnay,Chardonnay,4.3,18694
Chateau Buena Vista Cabernet Sauvignon Napa Valley,Cabernet Sauvignon,4.3,13415
Merlot (Signature),Merlot,4.3,2312
Rapture Cabernet Sauvignon,Cabernet Sauvignon,4.3,2117
Rutherford Cabernet Sauvignon,Cabernet Sauvignon,4.3,655
